Element,Coordinates
H,[893.2038834951472]
He,[-951.4563106796096]
Li,[-505.1375285118299]
Be,[728.1569492907593]
B,[970.8737864077665]
C,[990.2912621359231]
N,[-815.5339805825231]
O,[-737.8640776699028]
F,[951.4563106796124]
Ne,[-990.291262135922]
Na,[-592.7243118466964]
Mg,[283.5647398257095]
Al,[233.2387738374794]
Si,[-356.7067093119654]
P,[811.0998158589655]
S,[720.9230665067566]
Cl,[-912.7950377296023]
Ar,[-873.7864077669954]
K,[-559.7608697770033]
Ca,[-16.08484221691061]
Sc,[80.08578115093083]
Ti,[158.3094854275574]
V,[202.71049435791292]
Cr,[256.3507561529161]
Mn,[233.90633920840125]
Fe,[306.733641590831]
Co,[371.8677390934303]
Ni,[395.19807272994234]
Cu,[493.60267633691177]
Zn,[402.03776312888846]
Ga,[-172.0845043717069]
Ge,[-371.7545342750785]
As,[-465.3570720748563]
Se,[740.4630528847991]
Br,[-854.403095116434]
Kr,[-757.2815533980562]
Rb,[-567.8488661859489]
Sr,[-19.575260584370117]
Y,[49.52515797315923]
Zr,[86.57279555671643]
Nb,[127.74791808226065]
Mo,[679.922836235265]
Tc,[534.7341964282857]
Ru,[532.6236007444531]
Rh,[459.67704011123857]
Pd,[480.7302198965032]
Ag,[634.0065922695115]
Cd,[-208.57472891360365]
In,[-107.41107774847308]
Sn,[-266.21313655485113]
Sb,[-446.99432995974064]
Te,[755.7163237999707]
I,[-698.8212845982233]
Xe,[-796.1165048543694]
Cs,[-571.1848484274004]
Ba,[-30.219702492456886]
La,[7.607958351175092]
Ce,[39.29403184917505]
Pr,[41.47003485624051]
Nd,[42.81661522809588]
Pm,[97.71540884420293]
Sm,[46.226487986915295]
Eu,[9.119892000290115]
Gd,[45.960902566180394]
Tb,[48.55803437563705]
Dy,[49.012392813371825]
Ho,[49.958713588558304]
Er,[50.64817878589948]
Tm,[50.99981901139648]
Yb,[47.08397459830087]
Lu,[52.105068699541306]
Hf,[104.80917376353095]
Ta,[130.508902521255]
W,[-402.0097619372564]
Re,[812.7777030756631]
Os,[509.5682036374377]
Ir,[474.8496619522721]
Pt,[471.89552191373696]
Au,[560.4454496896809]
Hg,[519.7808646586095]
Tl,[-301.6442449206073]
Pb,[-270.0959445482252]
Bi,[-351.89211992765985]
Po,[-718.44660194175]
At,[-970.87378640777]
Rn,[912.6213592232975]
Fr,[-834.9514563106784]
Ra,[932.0388349514564]
Ac,[97.15268974661527]
Th,[32.35167281147679]
Pa,[91.64070489427353]
U,[29.82957175883037]
Np,[63.9417516614431]
Pu,[65.5775628424904]
Am,[95.79352477234404]
Cm,[93.79286460316118]
Bk,[106.3627554824545]
Cf,[87.9959679124576]
Es,[-776.699029126214]
Fm,[-660.1941747572816]
Md,[-893.2038834951461]
No,[-699.0291262184522]
Lr,[-912.6213592498933]
