epoch,step,train_MAE,train_RMSE,train_Total_Loss
0,274,0.29095274209976196,0.35213997960090637,0.29095274209976196
1,549,0.15664519369602203,0.21464024484157562,0.15664519369602203
2,824,0.1521885246038437,0.21047616004943848,0.1521885246038437
3,1099,0.1471468210220337,0.20241528749465942,0.1471468210220337
4,1374,0.14385242760181427,0.19803152978420258,0.14385242760181427
5,1649,0.1411740928888321,0.19510827958583832,0.1411740928888321
6,1924,0.13728013634681702,0.19004778563976288,0.13728013634681702
7,2199,0.1310785859823227,0.18181318044662476,0.1310785859823227
8,2474,0.12829026579856873,0.17906269431114197,0.12829026579856873
9,2749,0.1254376769065857,0.17450521886348724,0.1254376769065857
10,3024,0.12390244752168655,0.17314037680625916,0.12390244752168655
