epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss
0,31,,,,502.3180847167969,690.706787109375,502.3180847167969
1,63,,,,247.55203247070312,432.69189453125,247.55203247070312
2,95,,,,227.67568969726562,408.4434814453125,227.67568969726562
3,127,,,,226.69468688964844,406.7364501953125,226.69468688964844
4,159,,,,225.9418182373047,408.6932373046875,225.9418182373047
5,191,,,,218.14691162109375,407.0932312011719,218.14691162109375
6,223,,,,195.53817749023438,371.48236083984375,195.53817749023438
7,255,,,,158.24688720703125,291.82470703125,158.24688720703125
8,287,,,,140.97093200683594,291.37261962890625,140.97093200683594
9,319,,,,129.03591918945312,259.81683349609375,129.03591918945312
10,351,,,,121.94965362548828,248.27813720703125,121.94965362548828
11,383,,,,120.57511901855469,247.68263244628906,120.57511901855469
12,415,,,,119.31277465820312,248.04922485351562,119.31277465820312
13,447,,,,118.51667785644531,239.3987579345703,118.51667785644531
14,479,,,,111.85929870605469,230.2627716064453,111.85929870605469
15,511,,,,110.44578552246094,221.6079559326172,110.44578552246094
16,543,,,,104.87813568115234,205.18978881835938,104.87813568115234
17,575,,,,98.45281982421875,186.71051025390625,98.45281982421875
18,607,,,,90.98070526123047,171.74044799804688,90.98070526123047
19,639,,,,85.16716766357422,149.4762420654297,85.16716766357422
20,671,,,,84.01905822753906,136.76136779785156,84.01905822753906
21,703,,,,73.26380920410156,125.5757827758789,73.26380920410156
22,735,,,,76.35874938964844,120.85342407226562,76.35874938964844
23,767,,,,64.52056121826172,104.10672760009766,64.52056121826172
24,799,,,,72.29957580566406,111.50565338134766,72.29957580566406
25,831,,,,73.7639389038086,116.41584014892578,73.7639389038086
26,863,,,,58.11848449707031,88.3575439453125,58.11848449707031
27,895,,,,65.331787109375,102.03347778320312,65.331787109375
28,927,,,,60.982460021972656,91.93505859375,60.982460021972656
29,959,,,,59.9503288269043,88.36202239990234,59.9503288269043
30,991,,,,62.86699295043945,96.53376770019531,62.86699295043945
31,1023,,,,61.317222595214844,92.64469909667969,61.317222595214844
32,1055,,,,62.808353424072266,92.71448516845703,62.808353424072266
33,1087,,,,68.58313751220703,102.50545501708984,68.58313751220703
34,1119,,,,59.69895553588867,87.6008529663086,59.69895553588867
35,1151,,,,54.140018463134766,82.34070587158203,54.140018463134766
36,1183,,,,51.90977096557617,80.37748718261719,51.90977096557617
37,1215,,,,53.63460922241211,82.05384826660156,53.63460922241211
38,1247,,,,49.335853576660156,75.23361206054688,49.335853576660156
39,1279,,,,48.87601852416992,73.86135864257812,48.87601852416992
40,1311,,,,55.83742141723633,82.4211196899414,55.83742141723633
41,1343,,,,47.480857849121094,72.23916625976562,47.480857849121094
42,1375,,,,56.5790901184082,79.7545166015625,56.5790901184082
43,1407,,,,49.34154510498047,76.20093536376953,49.34154510498047
44,1439,,,,52.08335494995117,76.26422119140625,52.08335494995117
45,1471,,,,45.678749084472656,68.79884338378906,45.678749084472656
