Element,Coordinates
H,"[-60.4179635778211, 395.71501933956995, -57.0702280690556, 70.98315597238285, 89.61156308027803, -346.2630473123739, -557.833207479534, 153.0655567494782]"
He,"[319.96669537618817, 133.4537896800819, -92.68288395893572, 76.98194363591764, 568.0762525624585, -397.7749757966115, -115.76023393888742, 23.016990207662477]"
Li,"[-64.60350166147029, -40.30609841644176, 585.7921918872306, 320.9310502445059, -35.22604774610955, 55.70111003543507, 63.32868678079826, -5.154822247300054]"
Be,"[-467.6933574785462, 93.73825422029108, 280.468654947054, -96.99651283213261, -295.699436846809, -204.61527807761024, -184.9142988738408, 119.58952784143358]"
B,"[49.09535987205644, 7.553851214143678, -8.125815958026653, -443.05023511563985, -50.95211682948132, -136.66663698398526, -638.7924928010839, -16.517439361082044]"
C,"[-249.10131809618017, -236.93757165465715, -36.502923858322454, -258.00236493917015, 470.2987364266745, -444.72362456870434, -140.82622748245407, -58.58630177057855]"
N,"[81.59260189354016, 189.87060903895684, -132.41637163051965, -570.5040912169557, 270.84848364203884, -385.9281540306651, -148.32466928960287, 31.46912366039907]"
O,"[108.97741479073561, 88.8638436818815, 156.12316009128307, -335.7135566508463, 87.42071043202134, 89.95701394230377, -314.4250490473987, -595.5710921757047]"
F,"[-31.000309065959808, -130.42024481593316, -148.52082732791695, 236.3107301950847, 401.3558081122758, -207.17417779170066, -574.6833421255776, -18.96040035470947]"
Ne,"[-331.8908200387937, 146.7703525158331, 180.28412933319814, 299.7901543632767, 59.51648784236951, -175.95235774401974, -557.2159369213272, -174.05185187203259]"
Na,"[80.31441187003495, -20.55230348722476, 642.6351378890178, 336.74037514510724, 132.6691769943593, -34.130329893619546, -58.821566994006325, 108.11003729270465]"
Mg,"[-135.19985684439277, 68.53568980912141, -197.57990416152074, 68.59040267989302, -10.203268323251644, 163.20831900285492, 194.9106659215082, 45.24692393780073]"
Al,"[6.624909733652667, 4.515469530119661, -194.8443138682884, 46.96946699163104, -49.50302255416728, 137.92754147465547, 120.68360915952665, 183.89446434396268]"
Si,"[77.51933667881694, -258.7805401291843, 60.605379211429145, -124.97889590936191, -54.00422391277205, -199.1165995025702, -150.2378381130759, 514.7021674959595]"
P,"[-76.46794086951321, -173.9648642948697, 452.61189793768733, -538.3499865803107, 45.186983707281385, -46.901766088211374, 166.9539388280393, -109.811675370605]"
S,"[-308.7470204008313, -503.0815726526188, 145.66373321116248, 19.307708054583177, 33.68169899365529, 77.99606794511573, -257.19712236218726, -142.17301570890757]"
