Number,Z,MDS
1,H,Ne
2,He,At
3,Li,He
4,Be,Cl
5,B,Lr
6,C,Md
7,N,Ar
8,O,Br
9,F,Fr
10,Ne,N
11,Na,Xe
12,Mg,Es
13,Al,Kr
14,Si,O
15,P,Po
16,S,No
17,Cl,I
18,Ar,Fm
19,K,Na
20,Ca,Cs
21,Sc,Rb
22,Ti,K
23,V,Li
24,Cr,As
25,Mn,Sb
26,Fe,W
27,Co,Ge
28,Ni,Si
29,Cu,Bi
30,Zn,Tl
31,Ga,Pb
32,Ge,Sn
33,As,Cd
34,Se,Ga
35,Br,In
36,Kr,Ba
37,Rb,Sr
38,Sr,Ca
39,Y,La
40,Zr,Eu
41,Nb,U
42,Mo,Th
43,Tc,Ce
44,Ru,Pr
45,Rh,Nd
46,Pd,Gd
47,Ag,Sm
48,Cd,Yb
49,In,Tb
50,Sn,Dy
51,Sb,Y
52,Te,Ho
53,I,Er
54,Xe,Tm
55,Cs,Lu
56,Ba,Np
57,La,Pu
58,Ce,Sc
59,Pr,Zr
60,Nd,Cf
61,Pm,Pa
62,Sm,Cm
63,Eu,Am
64,Gd,Ac
65,Tb,Pm
66,Dy,Hf
67,Ho,Bk
68,Er,Nb
69,Tm,Ta
70,Yb,Ti
71,Lu,V
72,Hf,Al
73,Ta,Mn
74,W,Cr
75,Re,Mg
76,Os,Fe
77,Ir,Co
78,Pt,Ni
79,Au,Zn
80,Hg,Rh
81,Tl,Pt
82,Pb,Ir
83,Bi,Pd
84,Po,Cu
85,At,Os
86,Rn,Hg
87,Fr,Ru
88,Ra,Tc
89,Ac,Au
90,Th,Ag
91,Pa,Mo
92,U,S
93,Np,Be
94,Pu,Se
95,Am,Te
96,Cm,P
97,Bk,Re
98,Cf,H
99,Es,Rn
100,Fm,Ra
101,Md,F
102,No,B
103,Lr,C
