Element,Coordinates
H,"[-357.21951135716563, 645.8336708013767]"
He,"[-55.42348375663374, 790.0022530989338]"
Li,"[648.9720179080254, -18.69565563999309]"
Be,"[-150.79474759440572, 407.97189846037384]"
B,"[470.5869699000586, 630.9070996546172]"
C,"[147.98726894547056, 719.5978321119854]"
N,"[275.8536495211597, 680.4399931999886]"
O,"[-189.0596397567581, 769.7864140530738]"
F,"[-111.67450877885082, 713.1316814885257]"
Ne,"[229.7597939378749, 757.9545319726773]"
Na,"[763.0350054213889, 104.55433495775725]"
Mg,"[-285.18430124108147, -295.3947987865852]"
Al,"[-162.18397268193564, -199.8297610377568]"
Si,"[359.29202426103325, 156.22333030757628]"
P,"[772.9290431795679, -224.44623208288562]"
S,"[91.23811235616766, 386.8081585510219]"
Cl,"[573.8910877674048, 519.6222587253137]"
Ar,"[-566.4140622932752, 561.8032823733714]"
K,"[703.010118409602, 103.04757524316564]"
Ca,"[185.55985838816537, -485.4273553029496]"
Sc,"[7.246863642201445, -371.4722022190697]"
Ti,"[-88.15787297143552, -380.9437566935336]"
V,"[-154.30369737600805, -362.9163033439565]"
Cr,"[-245.0577869482669, -282.8995342358353]"
Mn,"[-218.5340630035142, -308.33690506823285]"
Fe,"[-315.8062196295105, -234.82353240957246]"
Co,"[-399.9623081796127, -198.0178721428216]"
Ni,"[-430.1971679879379, -178.04423290330803]"
Cu,"[-562.9011630883957, -79.8933071574882]"
Zn,"[-451.7832554365545, -214.98208959853548]"
Ga,"[16.51203263662823, 10.371749372019025]"
Ge,"[383.55469798637165, 183.26149098472004]"
As,"[712.4181852235497, -246.88385301535357]"
Se,"[90.7162013602677, 386.9900369197795]"
Br,"[574.2882985828991, 519.2767188657923]"
Kr,"[363.6146693000083, 704.4663624025835]"
Rb,"[703.886860788782, 129.9354564961062]"
Sr,"[191.3809299423766, -487.04550885519177]"
Y,"[65.44534834525679, -428.64560563358145]"
Zr,"[16.53631762134219, -425.8650773955638]"
Nb,"[-59.53727291657967, -487.2737461229844]"
Mo,"[-404.74303305997176, 332.58861640030693]"
Tc,"[-583.2160034571746, -33.0185541940986]"
Ru,"[-581.4731609272355, -54.857599636029285]"
Rh,"[-500.0221810251778, -79.16593117051252]"
Pd,"[-539.6713745959611, -82.67797140028067]"
Ag,"[-712.2037949942816, 60.43021501165402]"
Cd,"[-515.89721483986, -413.16449402279875]"
In,"[183.0628564897845, -208.6447527789418]"
Sn,"[289.3331253668338, 22.629825448208784]"
Sb,"[679.9087722047011, -257.8319224621306]"
Te,"[97.28017608528262, 424.8534491689025]"
I,"[574.9771589403056, 518.6768210083895]"
Xe,"[741.4955770007391, 340.49966483491187]"
Cs,"[708.0631543005492, 139.4353300116124]"
Ba,"[208.93957557520258, -492.00646779996237]"
La,"[136.63526868032415, -458.7194739348224]"
Ce,"[85.33457727990894, -444.4502694116735]"
Pr,"[80.2811379603114, -435.3116978112665]"
Nd,"[80.36192553718044, -441.50380197886386]"
Pm,"[-11.65453990322742, -241.89349921801073]"
Sm,"[70.1710323446317, -428.0916189955555]"
Eu,"[134.86992520819962, -452.99713362599425]"
Gd,"[68.594347507163, -424.49315795796804]"
Tb,"[60.663045770099195, -411.0717861267176]"
Dy,"[57.69087880310856, -404.51296051229485]"
Ho,"[55.764536110234864, -403.29560196266]"
Er,"[55.751836222831805, -405.9440247729465]"
Tm,"[41.914359646811526, -381.06182597298283]"
Yb,"[63.61202022954379, -415.4020457290866]"
Lu,"[41.20746096526775, -378.82942553061605]"
Hf,"[-10.587132267440612, -410.13425154428745]"
Ta,"[-61.65762923600343, -515.4092999952186]"
W,"[-462.06489523305146, 304.9561432062326]"
Re,"[-680.2336123704257, 273.9353339733758]"
Os,"[-580.588685149635, -36.97613955786634]"
Ir,"[-518.2879334985871, -60.93042837602138]"
Pt,"[-525.01672498315, -84.56168999975355]"
Au,"[-627.7304020019998, -42.24538460909889]"
Hg,"[-549.3344323591065, -424.6250969261185]"
Tl,"[378.0655861767083, 29.761016981137434]"
Pb,"[303.6303082458769, 20.506195346101972]"
Bi,"[612.9637095413601, -288.08239640002887]"
Po,"[-708.031170368196, 429.1794123592927]"
At,"[-634.2990861234239, 503.1898718662676]"
Rn,"[85.82666931244111, 787.105405365617]"
Fr,"[-437.8480636056226, 662.0680353507653]"
Ra,"[-235.42595348758047, 685.5724087734301]"
Ac,"[5.221326284361961, -234.06577218978035]"
Th,"[82.97782461928301, -428.19403351724173]"
Pa,"[-12.576099896689826, -264.51523437744066]"
U,"[97.269544351772, -457.70147401628367]"
Np,"[15.392276231772053, -327.9687761383303]"
Pu,"[12.067557748996162, -305.07287724990357]"
Am,"[-13.798666765752264, -251.2580511212951]"
Cm,"[-7.950939797659784, -252.21532104946277]"
Bk,"[-17.690310527047036, -233.73178677936366]"
Cf,"[2.379444850204938, -223.73922519206147]"
Es,"[15.842443537182758, 727.5788837258732]"
Fm,"[-495.4571833667772, 602.9636086589685]"
Md,"[-317.35474170226206, 728.9172601068359]"
No,"[390.20690426425875, 614.7759992027351]"
Lr,"[683.5383017223879, 410.6009588495918]"
