Element,Coordinates
H,"[-71.57275238261147, 111.46921349765982, -19.056799405360806, -44.53619898584552, 170.02848590928582, -141.87339021154995, 138.99467670617233, -88.7029525814617, 95.41558443280933, 1.3669389590129761, -135.09379371703378, 56.58147689857354, -8.471700603191623, 13.091110458175073, -41.28329343121242, -136.58664212097926, -115.5525662574819, 22.855238278752957, -74.90317160260032, 76.76426366604993, 104.24825858333037, 71.15377106297944, 31.46122343974275, -37.74427432699378, 132.1580155709634, 9.124261737679326, -146.34773969511082, -161.1953345602032, 29.439252434690506, -127.0921660933849, -60.04976667033346, 84.59320604155835, -30.63784474889058, -63.941002809000814, -137.20375089034565, 113.41693199061763, -49.38267898882767, 24.86263940688023, -7.674427039639693, 70.40002527403635, -23.974275827659763, 23.19538649339615, -53.431306284958545, 82.53272022674588, 40.64230072156841, -26.455520228163888, 142.32754080711055, -190.68083751347697, -141.47914569364994, -18.03795788282404, 40.118122977611876, 189.37828021897667, 83.63320201840322, 251.54199559115818, 40.6481308442571, 38.41361244482634, -15.850979310016061, 3.2748341549933273, -26.233198693826274, -150.03117305044537, -107.32844632488838, 147.9105238498587, 152.4296564797874, 178.8231703890795]"
He,"[-43.551914213147285, 111.47488512593355, -48.06981447082665, -80.30482070883046, 112.6461739658073, 130.8407727655336, -48.50966891366886, 64.59718732681667, -70.93769094001638, -200.15232012375748, -220.13443729040742, -73.92257717228365, 16.299559745342542, 95.48498203586914, -39.730318996772155, 49.66805648453493, 10.769471060477855, 144.7419126617208, -122.82854691619286, 1.49968751796651, -150.05065013923047, -43.015686735670045, 8.312792306210827, -48.08913613846061, -72.65841720349121, -112.51104508189947, 1.2336194419483526, 106.84126913129475, 19.27818502674979, -31.817144146487596, 61.30483991267428, -121.27702910997327, -3.1861225758716243, -40.49178980408463, 75.17616758358945, 15.696478440066418, 4.30376954958523, 95.57985403165709, -22.546692883758013, -143.2717044883986, -85.42111139623835, 102.69867410045909, -18.380502443448822, 94.53420157244841, 27.141870190458352, 62.374393917794684, 197.5458249459933, 3.2291635462797608, -15.021608812467354, 127.10880050316256, 216.72437390899515, 180.68476395137532, 83.1464548559635, 251.94257730016264, -41.04603609824181, -21.306895387604513, -12.189220544813827, 49.50288744050647, -66.9665391263757, -101.84891447753553, 47.42321769351721, 222.64002924307252, -105.87137902592532, 7.2681913930401585]"
Li,"[-71.13994912755882, 132.74957395869674, 64.66002272421146, -5.3390295586919345, -141.8671832623142, -14.465353114041523, -80.66663840335409, 126.14840408270145, 131.68778087007016, -130.4488804580034, 10.222568991785588, 37.2342181663957, -79.21049807083416, 96.63659721474573, 8.98211438208323, -171.4535932197928, -67.07215252918468, 17.55238717795353, 97.72459994923196, -34.485324789275964, -101.82461868746677, -0.9702035383680969, -98.43965574887427, 114.73934688997474, 74.80033686988061, -17.943161721741554, -116.23823395475387, -8.96368773794026, -78.99699997509055, -76.30691581831559, -19.047949848625965, 89.21147867402924, 4.196204735441767, -37.084282830509665, -32.215846538594, 59.77432749142519, 62.70597343641412, -110.24291830136117, 147.98589203323596, -62.501855358604644, -66.24575646658552, 170.76922974724212, 74.04898495220985, -90.68962190038468, -24.299647515138428, -77.95337559188619, -2.7681709497891465, -24.813973104620228, -44.7925587471093, 87.75582251013749, 177.7986157536192, -141.63199171810982, 79.13354258076558, 0.47929684368427966, -117.35501092177306, -100.42907542042381, -34.70453866294109, 67.78779047990119, 18.603914916677113, -29.198613503293398, -128.15985681680226, -13.611417118436183, -57.71815739312152, 72.3752140396805]"
Be,"[57.39176529661142, -5.419062007391174, 44.40105522007466, 78.36573692652162, -51.316427793493446, -102.34460781305408, -91.45288323419109, 159.67118357042276, 95.19873115659229, 74.32611290352092, -127.62874404998382, 51.5574085378021, 1.8570660932080667, -104.01702409659559, -171.700287912034, -28.48800993353653, 72.76413826724472, -32.31193900412602, 73.61575917179046, 65.63596825202046, -75.56188929336187, -90.5296808652991, 69.7460400795368, -138.27384437067383, 137.60802083526306, -94.12131389124302, -93.37417686892401, -36.661873234259154, -99.33171444617906, 77.55728591553864, -112.97837637218001, 35.01286189299438, -93.07193643095832, 43.741540160282014, 114.38520045907036, -9.8883573285961, -88.59274867601985, 127.70967082203482, 0.4175726528836778, -18.683517042018586, -95.11019513991874, 69.56890751653155, 72.39603023098142, -66.3472684856845, 165.9381908596992, 64.9770971854741, -122.6015237941987, -80.96028894096226, -67.0172579201618, 66.07320770459174, 185.47279144243655, 27.6723125976451, 152.62914509504841, 30.92988529233123, 83.54214804602864, 47.85338175063744, -106.0778618266142, -76.64053940108899, -11.209453156600482, -138.03248038385595, 36.06798544121859, -54.27144699906144, -10.71055643139751, -46.554129461528525]"
B,"[152.3099286719536, -163.97465469685983, -30.18330308445372, -148.87353530616772, -27.55533619042974, -154.92392743669907, 201.05123349897787, 0.952807968881986, 94.90611154065945, 57.39529521843709, -21.053076947065207, -83.29145590722143, -120.98424780013585, 114.75190405883639, -115.2500417106569, -107.20145740425082, -44.18619344551238, 144.78413949700524, -11.78931862660272, 1.048356929968339, 116.59256861405154, -119.78144600179212, -81.47087452568854, -48.80318582036848, -129.28234558254374, -29.308710723049394, -42.898198386451426, 15.265945881305042, -145.44645441363753, 21.31217919708604, -128.49391207141022, -99.19888192463885, -78.01333779789188, -134.42543802260332, 109.25866970998521, 191.9139566597234, -111.93958271414037, 65.7656858955267, -26.305036341457168, -49.495855461007174, 4.314726252461942, 103.05594521115664, 93.84267630515811, 134.1659543036336, -118.54121867645937, -51.27107166943575, 94.21567980566296, 10.26423327796377, -183.1254045207005, 63.65924417915508, 151.80268098366543, 74.25588069073736, -57.970115941238056, 150.47849728026938, -69.825451327886, 62.77105394236343, 49.63127178972778, -27.262697861713658, 137.76004593763741, 21.09427677138996, -22.53280729265677, 25.50346863862051, -140.59076768258507, 52.68372046483731]"
C,"[-145.2669132813414, -101.41244740946013, 75.4296866078783, -93.88656344068465, 12.889694920309877, 53.687610500146576, 32.170041560045306, 24.81138471255305, 131.441993836162, 47.37133449264131, -86.03022094090659, 75.58822177303989, -17.380206469072444, -11.138474337305247, -111.44194886007651, -68.92195059135294, 37.447648270659265, -64.71488146467848, 51.462507691795416, 11.905113160473626, -113.80327283973749, -176.36317811532814, -145.53391651667874, 161.80476537377234, -56.63000368837674, 2.5591133361784086, 186.20249027278481, -61.312626872049854, 78.8886051088917, -74.84093652440501, 33.78100973922838, 103.94285196584659, -56.32717162978073, 111.20587059053048, 142.83427630518585, 233.48553781655477, -31.759497308745157, -65.56807415037879, 92.86992473908937, 70.35654307126201, 32.86528176141016, -64.42060642217336, 118.34225186186809, 47.55126748916123, 40.934813502591815, -22.753907214163014, 84.23519360823684, 25.635100835673498, -2.9972916962819833, 47.26966493928773, 149.2785602086669, 80.81975960295001, -7.228456639484517, 273.0006302664709, 187.88797807458738, 151.661450423912, 25.33033727492041, -20.48950195524027, -86.40555120047857, -14.89152706171908, 45.92223067891127, 107.3562969944257, -55.4636880398663, 212.91378273471003]"
N,"[-35.55747981692574, -101.12646905717568, -58.4066981280004, 2.5499047777352417, 115.41864397689368, -171.71021300385055, -59.77976498591648, 89.24543974931841, 167.20175166474738, 72.07729952101054, 9.039573746508001, 111.43766532857035, 66.60619677744673, -0.5042443548264556, -164.8750780706756, -22.681141645761027, 95.24168322388658, 105.2795384790658, -125.79254093544883, 60.46076419129256, -54.067019077756456, 86.73164781353954, -24.165476871188407, -82.04273311906587, 54.07993631937321, 75.79625722738457, -120.62530014976534, 106.25568278835765, -131.53647816893059, -79.12527104404944, 127.78622763433133, 125.19000170828686, -89.67612921778085, -164.4150091136875, -13.100443914725073, 0.3085524490241213, 133.17773074150006, -46.3508486443617, 16.744427603883207, -215.4729120122277, 51.63624751719561, -112.2651742791601, 64.35597582935428, 100.09300480037798, -146.55233647743708, -52.58754673309212, -9.766025254551302, 100.451965163693, -25.934740627126008, 78.56483033031107, 91.3553530660197, -8.041947084291952, -36.04225638549437, 242.67059673354433, 110.69497287024494, -63.02604358353727, -122.3739476705589, -49.90328566625178, 17.236984445234995, 21.99090600470375, 111.55980768777731, 200.65678702659667, -28.965565130788196, 133.7069001703803]"
O,"[72.43248546475475, 72.98299224598479, -174.7305405720854, -40.260052794783064, 0.8747462023992733, -132.9129336781588, -90.45047301779869, -54.60105830730873, 143.95938924979626, 58.69053691260933, -13.239717345802127, -55.33337725941894, 153.14800231420764, -8.155683062545059, -35.58510561446769, 1.8287577065015332, -69.46428140920945, 25.990472334230194, -130.01140853574768, -42.56594189708134, -131.43466667270434, -160.12150562038767, -33.856300319389796, 36.18384836772553, -31.640083884982293, 43.59324405883517, -40.15469243702065, -130.53884591848458, -74.69265750970607, 69.61891525073437, 201.45015266149244, -146.8645604196742, -109.61508803375624, -189.16499270670366, 177.98657211800344, -38.90414855295205, -40.79961070047034, -69.50604693742363, 98.45203103239041, 50.662177376134615, -58.53604118117587, 8.73653881493962, -79.21207083111288, 32.303722501177226, -55.600981319785014, -62.641388358113275, 167.0825923879869, -187.6211403617504, 90.74687102888305, 81.05402370323708, 148.15698934991087, -26.391679095635723, -83.2906335672588, 106.8155576784821, 32.5306767365626, 148.70892135463762, -23.185131911306218, -51.95690264766063, 59.94853048143667, -195.2673015521572, -16.138353271162202, -26.661665569635492, 17.015729384784265, 219.51408876558654]"
F,"[-11.177158350857322, 10.341300106422475, 16.220968433783803, -196.14677713618102, -85.49985680187784, 62.566804666922614, -67.3200021653973, 23.216938353625075, 120.17758995823877, 46.22508923473116, -170.83491601939375, -8.423707692375574, -92.56169429067025, -92.03468230359833, -153.60009506947426, 6.433095491717294, -90.8480852417724, -43.269204681284016, -85.83956920264153, -16.995885925876408, 129.9421746839972, 206.10378616217824, -130.30290161729724, -14.74536099882041, -136.68502246925704, 77.05301004248683, -36.27440555839081, -141.47451535852935, -97.54034116448955, 122.66716815735894, 107.17645281226116, -97.44143395390098, 58.79158608989118, -161.25817538361318, 41.047274022118025, 88.18614143904544, 105.00574747839369, 73.90234529080853, -28.539576784470345, 1.1258611919337553, -105.1052684911604, -21.717753445199364, 64.86964226097655, 5.16424744125338, 97.00088756115288, 68.89469731587043, 100.5058801536089, 45.752859358950836, -21.583383788027472, 219.2784661935389, -3.798226687794442, -99.6270363987153, 211.34653142161218, 257.21409307852264, 110.84275973173509, 9.304638825399008, 55.32489529063181, 27.967280092309718, 102.30396730175791, -39.63106960492231, 33.54051574470913, 24.096770362646993, 42.239427711317205, 120.64214465251703]"
Ne,"[-92.40437813378043, -148.8584003206687, -20.426274568775685, -92.35131817938674, -48.85884984567324, -132.9614957128119, -56.986885602273794, -24.94190464045121, 41.73418946610979, -138.23492061446416, -249.88235222995374, -76.18861809598194, 33.55767583531632, -15.293603178826563, -42.21404064442265, 41.88709377828399, 59.8928879130385, -138.73737131566247, -152.1997670602504, -90.3456095891289, 74.05056038202534, 109.79238072334246, -17.773038428528903, 58.9952384156805, 116.66294283712274, -102.20910809274875, 5.666452112047139, -2.2798600362854944, -110.03582623309961, 132.20551053982314, -29.918152766295425, 63.90975940026246, 142.93832476090446, -104.328352761627, 25.944597106240288, 186.94751582090532, -171.1676274689629, -63.94186863063209, 125.8899094899854, -39.349810629442956, 98.41260033037358, -18.105113892289523, 8.025756396215675, 157.30365158886642, -103.43694087968966, 160.90154536195269, -21.324437286145518, -157.39147352153478, 53.81428221804071, -30.31805289312775, 211.53931653522213, 12.942558186978298, -76.71562987799904, 196.68202966053443, -37.4686071813839, -66.49879522904337, -64.24224276723821, 65.89784184915008, 25.982094984168207, -53.94069049830413, 96.44909272561209, -11.562092627747893, -21.80572152856654, 119.87587974841921]"
